ticker,GMV_weight,MSR_weight
AAPL,-2.5975760395960674e-23,0.00550534895768962
MSFT,0.031507084187598046,1.5632522349252647e-23
GOOGL,0.05393490494356692,0.29190073130494215
AMZN,0.14110316040768017,6.136602109878436e-23
META,-2.7917631462871355e-22,0.1479883546066644
JPM,0.0021762134821612608,0.03502693377051267
JNJ,0.29660488614737973,-7.36771624839647e-24
PG,0.22109678630311158,-1.7265622622219854e-23
XOM,0.12447266637862923,0.4014341163776902
V,-5.58966721921786e-23,6.2421749036217205e-24
HD,-2.433733471018419e-22,2.9538840785632487e-23
UNH,0.012911453757709305,9.352610126995548e-24
KO,0.11619284439216379,0.11814451498250086
CAT,-1.8659472888986425e-22,1.5578357816549222e-23
DIS,-1.8005998126209196e-23,4.053539518181388e-23
