Date,AAPL,AMZN,CAT,DIS,GOOGL,HD,JNJ,JPM,KO,META,MSFT,PG,SPY,UNH,V,XOM
2021-01-04,125.7408676147461,159.3314971923828,164.92930603027344,172.27200317382812,85.54793548583984,230.37684631347656,134.28738403320312,109.00053405761719,44.79277801513672,266.59881591796875,207.9561309814453,119.8536376953125,342.4369812011719,317.8468017578125,209.13937377929688,33.466636657714844
2021-01-05,127.29546356201172,160.92550659179688,166.2785186767578,173.0088653564453,86.2378158569336,232.236083984375,135.86619567871094,109.59362030029297,44.30036163330078,268.6111145019531,208.15675354003906,120.618896484375,344.7953796386719,313.5724182128906,206.0180206298828,35.07948303222656
2021-01-06,123.0105209350586,156.91900634765625,175.53228759765625,173.66815185546875,85.3868637084961,233.56297302246094,137.14471435546875,114.73967742919922,42.89103698730469,261.01788330078125,202.75936889648438,121.88858795166016,346.8568420410156,326.73187255859375,204.20285034179688,35.97461700439453
2021-01-07,127.20804595947266,158.10800170898438,175.86727905273438,173.14459228515625,87.9372329711914,232.4194793701172,137.60806274414062,118.50764465332031,42.41560363769531,266.400634765625,208.52928161621094,120.74935150146484,352.01019287109375,331.9702453613281,205.34568786621094,36.25686264038086
2021-01-08,128.3060302734375,159.13499450683594,175.89447021484375,173.25123596191406,89.10142517089844,234.8897705078125,137.32485961914062,118.63846588134766,43.36647033691406,265.24078369140625,209.79983520507812,120.6971664428711,354.01580810546875,330.478759765625,206.92083740234375,36.66007614135742
2021-01-11,125.32303619384766,155.7104949951172,175.53228759765625,173.6390838623047,87.04267883300781,236.75775146484375,136.75001525878906,120.40908813476562,42.61935806274414,254.6042022705078,207.7650604248047,119.8797378540039,351.62945556640625,328.077880859375,204.46217346191406,37.772945404052734
2021-01-12,125.14815521240234,156.04150390625,178.86434936523438,170.63343811035156,86.10796356201172,241.2095489501953,135.68603515625,122.30178833007812,42.54294967651367,248.9042510986328,205.31948852539062,119.18401336669922,351.7037353515625,325.0039978027344,200.59170532226562,38.61163330078125
2021-01-13,127.17887878417969,158.29449462890625,177.37033081054688,170.75946044921875,86.59464263916016,239.2193603515625,135.4800567626953,122.41515350341797,42.58539962768555,249.44944763183594,206.66650390625,119.36664581298828,352.6508483886719,322.8850402832031,201.0623016357422,39.04710006713867
2021-01-14,125.2550277709961,156.37350463867188,178.73756408691406,168.1513214111328,85.78531646728516,234.2350616455078,137.84832763671875,123.13037109375,41.795833587646484,243.5016632080078,203.49493408203125,118.09697723388672,351.4159240722656,318.78350830078125,193.8688201904297,40.57124328613281
2021-01-15,123.53520965576172,155.21249389648438,176.22039794921875,166.221923828125,85.62175750732422,240.5636444091797,137.54803466796875,120.92366790771484,41.34587478637695,249.17189025878906,203.14144897460938,117.20992279052734,348.8531799316406,319.48382568359375,193.60952758789062,38.61968994140625
2021-01-19,124.20563507080078,156.03799438476562,176.64828491210938,167.01695251464844,88.43929290771484,238.4686737060547,139.67599487304688,120.4003677368164,41.18455505371094,258.8271484375,206.7620086669922,116.18376922607422,351.59234619140625,320.2931213378906,193.67672729492188,39.38579177856445
2021-01-20,128.2865753173828,163.16900634765625,175.08253479003906,168.35496520996094,93.1772689819336,239.43756103515625,139.332763671875,118.5948715209961,41.32889938354492,265.15155029296875,214.3087615966797,114.7314682006836,356.4580078125,319.0654296875,197.85452270507812,39.942222595214844
2021-01-21,132.98928833007812,165.34950256347656,174.946044921875,166.06678771972656,93.37948608398438,243.58384704589844,138.77503967285156,117.6005630493164,41.5581169128418,270.4945983886719,214.91061401367188,114.61859893798828,356.7828674316406,322.8487243652344,197.01902770996094,38.7971076965332
2021-01-22,135.126953125,164.6114959716797,174.71847534179688,167.52113342285156,93.79629516601562,247.9047088623047,140.33673095703125,116.69343566894531,41.16758346557617,272.1105041503906,215.8467559814453,113.7349624633789,355.52008056640625,316.07342529296875,194.02247619628906,38.24873352050781
2021-01-25,138.86781311035156,164.6999969482422,170.53121948242188,166.65821838378906,93.88153076171875,248.84751892089844,142.42184448242188,115.23686981201172,41.41379165649414,275.5899658203125,219.26670837402344,115.69474029541016,356.9222106933594,316.30987548828125,193.02366638183594,37.821327209472656
2021-01-26,139.1010284423828,166.30650329589844,170.41285705566406,164.3991241455078,94.55902862548828,246.6826934814453,146.2831268310547,114.7658462524414,41.84678268432617,279.5947265625,221.9415283203125,116.4383316040039,356.3650207519531,312.0355529785156,194.01283264160156,36.99071502685547
2021-01-27,138.0321807861328,161.62899780273438,164.42323303222656,158.06787109375,90.14764404296875,239.2193603515625,144.05215454101562,111.52122497558594,41.20154571533203,269.77099609375,222.48602294921875,112.3176498413086,347.6553039550781,302.8321228027344,187.25157165527344,36.57136917114258
2021-01-28,133.20309448242188,161.88099670410156,167.8004150390625,166.64852905273438,91.84559631347656,242.71092224121094,145.15048217773438,113.48368835449219,41.72792434692383,262.6931457519531,228.24636840820312,114.04991912841797,350.6451721191406,307.5246887207031,190.3729248046875,37.1439323425293
2021-01-29,128.2185821533203,160.30999755859375,166.43496704101562,163.0514373779297,90.56493377685547,236.39988708496094,139.97634887695312,112.22772216796875,40.878929138183594,256.0811767578125,221.58807373046875,112.16891479492188,343.6255187988281,303.3685607910156,185.5996551513672,36.160099029541016
2021-02-01,130.3367462158203,167.1439971923828,168.14627075195312,165.76622009277344,93.8215560913086,235.74522399902344,139.615966796875,113.05631256103516,41.159095764160156,259.7291564941406,228.93418884277344,112.83383178710938,349.34527587890625,303.75048828125,190.5073699951172,36.22460174560547
2021-02-02,131.1626434326172,169.0,175.2281951904297,171.57391357421875,95.11262512207031,237.56951904296875,138.36318969726562,116.53644561767578,41.566612243652344,264.7550048828125,228.80043029785156,112.67634582519531,354.28515625,308.04315185546875,194.58912658691406,36.79717254638672
2021-02-03,130.14239501953125,165.62649536132812,174.27243041992188,171.06004333496094,102.03919982910156,239.32412719726562,137.71961975097656,117.8709487915039,41.40530776977539,264.3287658691406,232.13441467285156,112.81634521484375,354.563720703125,307.28826904296875,193.3886260986328,38.240665435791016
2021-02-04,133.49459838867188,166.5500030517578,174.4544677734375,174.744384765625,101.77900695800781,243.3831329345703,138.99815368652344,120.58353424072266,41.609066009521484,264.170166015625,231.18865966796875,112.8863525390625,358.5935363769531,299.4944763183594,200.9662628173828,38.974517822265625
2021-02-05,133.0810089111328,167.6074981689453,175.68338012695312,175.6460723876953,103.5235366821289,243.41799926757812,141.10897827148438,120.34801483154297,42.15241622924805,265.76617431640625,231.37013244628906,113.35877227783203,360.0050048828125,295.12005615234375,200.50526428222656,40.28092575073242
2021-02-08,133.2270050048828,166.14700317382812,179.73411560058594,184.21701049804688,103.30992889404297,244.43934631347656,141.51226806640625,122.23199462890625,42.381649017333984,264.2593994140625,231.6280975341797,113.0088119506836,362.6048278808594,294.9654235839844,198.69970703125,42.014739990234375
2021-02-09,132.3511962890625,165.25,179.57937622070312,182.48150634765625,102.85743713378906,241.5936737060547,142.67071533203125,121.74359130859375,42.194862365722656,267.1044006347656,232.87001037597656,112.57136535644531,362.3634948730469,299.7763366699219,198.3443145751953,41.522666931152344
2021-02-10,131.7478790283203,164.32899475097656,179.9798583984375,183.85829162597656,103.40707397460938,243.2696075439453,143.13400268554688,121.81334686279297,42.109954833984375,269.50335693359375,231.96246337890625,112.17768096923828,362.20562744140625,303.20489501953125,198.26748657226562,41.924522399902344
2021-02-11,131.49488830566406,163.10650634765625,180.5533447265625,185.09930419921875,103.51956939697266,241.8467559814453,142.490478515625,121.47318267822266,42.70425033569336,268.0362243652344,233.55775451660156,112.27392578125,362.7905578613281,302.90484619140625,202.63453674316406,40.87477111816406
2021-02-12,131.7283935546875,163.885498046875,180.22569274902344,181.9579315185547,103.830810546875,242.23956298828125,142.93666076660156,123.20015716552734,43.03536605834961,268.1452941894531,234.0354461669922,111.65275573730469,364.58270263671875,298.5122375488281,201.9612274169922,41.43245315551758
2021-02-16,129.6070556640625,163.44749450683594,184.22178649902344,180.67811584472656,104.60742950439453,240.3890838623047,141.64100646972656,126.16569519042969,42.67878341674805,271.5850524902344,232.80311584472656,111.91520690917969,364.2669677734375,295.2200927734375,199.97967529296875,42.67902755737305
